publication,firstName,lastName,networkId,rank
https://scholars.uow.edu.au/display/publication44831,Thomas,Madsen,madsen,1
https://scholars.uow.edu.au/display/publication34437,Emma,Barkus,ebarkus,2
https://scholars.uow.edu.au/display/publication45011,Andy,Davis,adavis,6
https://scholars.uow.edu.au/display/publication34666,Karen,Charlton,karenc,1
https://scholars.uow.edu.au/display/publication79226,Yujin,Qi,yujin,6
https://scholars.uow.edu.au/display/publication38613,Zhengyi,Jiang,jiang,1
https://scholars.uow.edu.au/display/publication38613,Haibo,Xie,xie,5
https://scholars.uow.edu.au/display/publication116352,Brin,Grenyer,grenyer,1
https://scholars.uow.edu.au/display/publication42786,Stephen,Pyne,spyne,4
https://scholars.uow.edu.au/display/publication42786,Paul,Keller,keller,3
https://scholars.uow.edu.au/display/publication42786,John,Bremner,jbremner,2
https://scholars.uow.edu.au/display/publication31468,Shi,Dou,shi,4
https://scholars.uow.edu.au/display/publication31468,S,Dou,shi,4
https://scholars.uow.edu.au/display/publication31468,Alexey,Pan,pan,2
https://scholars.uow.edu.au/display/publication93554,Sukhmani,Khorana,skhorana,1
https://scholars.uow.edu.au/display/publication128182,Andrzej,Calka,acalka,3
https://scholars.uow.edu.au/display/publication128182,David,Wexler,davidw,2
https://scholars.uow.edu.au/display/publication108336,Akemi,Chatfield,akemi,3
https://scholars.uow.edu.au/display/publication40452,Alison,Smith,alismith,4
https://scholars.uow.edu.au/display/publication40452,Brian,Cullis,bcullis,5
https://scholars.uow.edu.au/display/publication109421,Karen,Charlton,karenc,3
https://scholars.uow.edu.au/display/publication109421,Marijka,Batterham,marijka,5
https://scholars.uow.edu.au/display/publication109421,Elizabeth,Neale,elizan,4
https://scholars.uow.edu.au/display/publication109421,Linda,Tapsell,ltapsell,2
https://scholars.uow.edu.au/display/publication116709,Gordon,Wallace,gwallace,7
https://scholars.uow.edu.au/display/publication116709,Zhilian,Yue,zyue,3
https://scholars.uow.edu.au/display/publication116709,Jeremy,Crook,jcrook,4
https://scholars.uow.edu.au/display/publication89022,Shaun ,Gallagher,shaung,2
https://scholars.uow.edu.au/display/publication19996,Shi,Dou,shi,5
https://scholars.uow.edu.au/display/publication19996,S,Dou,shi,5
https://scholars.uow.edu.au/display/publication19996,Germanas,Peleckis,peleckis,4
https://scholars.uow.edu.au/display/publication19996,Zhenxiang,Cheng,cheng,3
https://scholars.uow.edu.au/display/publication19996,Xiaolin,Wang,xiaolin,2
https://scholars.uow.edu.au/display/publication128043,Mark,McLelland,markmc,1
https://scholars.uow.edu.au/display/publication123197,Muhammad,Hadi,mhadi,2
https://scholars.uow.edu.au/display/publication108262,Qinghua,Guo,qguo,5
https://scholars.uow.edu.au/display/publication108262,Huijun,Li,huijun,4
https://scholars.uow.edu.au/display/publication108262,Hui,Li,huijun,4
https://scholars.uow.edu.au/display/publication108262,Yanguang,Yu,yanguang,2
https://scholars.uow.edu.au/display/publication108262,Jiangtao,Xi,jiangtao,3
https://scholars.uow.edu.au/display/publication108262,Lihong,Su,lihongsu,7
https://scholars.uow.edu.au/display/publication108262,Jun,Tong,jtong,6
https://scholars.uow.edu.au/display/publication55077,P,Wellings,wellings,1
https://scholars.uow.edu.au/display/publication87210,Anh,Tieu,ktieu,3
https://scholars.uow.edu.au/display/publication36608,Tracey,Clarke,tclarke,1
https://scholars.uow.edu.au/display/publication31315,Xun,Xu,xun,2
https://scholars.uow.edu.au/display/publication31315,Shi,Dou,shi,4
https://scholars.uow.edu.au/display/publication31315,S,Dou,shi,4
https://scholars.uow.edu.au/display/publication31315,Jung Ho,Kim,jhk,3
https://scholars.uow.edu.au/display/publication84435,Christopher,Hyland,chrhyl,3
https://scholars.uow.edu.au/display/publication18668,Tim,Coltman,tcoltman,1
https://scholars.uow.edu.au/display/publication113696,Guoxin,Su,guoxin,1
https://scholars.uow.edu.au/display/publication19655,Rodney,Clarke,rclarke,1
https://scholars.uow.edu.au/display/publication76650,Linda,Tapsell,ltapsell,3
https://scholars.uow.edu.au/display/publication76650,Stephen,Lillioja,lillioja,1
https://scholars.uow.edu.au/display/publication71930,Noel,Cressie,ncressie,3
https://scholars.uow.edu.au/display/publication61916,C,Zhang,czhang,5
https://scholars.uow.edu.au/display/publication72547,Shae-Leigh,Vella,vella,1
https://scholars.uow.edu.au/display/publication72547,Nagesh,Pai,nagesh,2
https://scholars.uow.edu.au/display/publication108147,Tony,Okely,tokely,16
https://scholars.uow.edu.au/display/publication108147,Anthony,Okely,tokely,16
https://scholars.uow.edu.au/display/publication104249,Xiaoqi,Feng,xfeng,1
https://scholars.uow.edu.au/display/publication31159,Yasmine,Probst,yasmine,1
https://scholars.uow.edu.au/display/publication115041,Emre,Sariyildiz,emre,2
https://scholars.uow.edu.au/display/publication116916,Md. Shahriar,Hossain,shahriar,4
https://scholars.uow.edu.au/display/publication105100,Conrad,Kobel,ckobel,2
https://scholars.uow.edu.au/display/publication82627,Paul,Stapley,pstapley,3
https://scholars.uow.edu.au/display/publication89082,Brian,Martin,bmartin,1
https://scholars.uow.edu.au/display/publication25462,Jenny,Beck,jbeck,5
https://scholars.uow.edu.au/display/publication25462,Celine,Kelso,celine,1
https://scholars.uow.edu.au/display/publication117791,Shi,Dou,shi,5
https://scholars.uow.edu.au/display/publication117791,S,Dou,shi,5
https://scholars.uow.edu.au/display/publication117791,Xiaolin,Wang,xiaolin,8
https://scholars.uow.edu.au/display/publication108228,Pauline,Jones,paulinej,1
https://scholars.uow.edu.au/display/publication108228,Bev,Derewianka,bevder,2
https://scholars.uow.edu.au/display/publication88737,Jun,Chen,junc,3
https://scholars.uow.edu.au/display/publication88737,Dirk,Guldi,,2
https://scholars.uow.edu.au/display/publication111470,Glenn,Salkeld,gsalkeld,2
https://scholars.uow.edu.au/display/publication18112,Linda,Tapsell,ltapsell,2
https://scholars.uow.edu.au/display/publication18112,Yasmine,Probst,yasmine,1
https://scholars.uow.edu.au/display/publication94056,Peter,Vial,peterv,4
https://scholars.uow.edu.au/display/publication94056,David,Stirling,stirling,2
https://scholars.uow.edu.au/display/publication94056,Montserrat,Ros,montse,3
https://scholars.uow.edu.au/display/publication30293,Gordon,Wallace,gwallace,3
https://scholars.uow.edu.au/display/publication85323,R,Morrison,johnm,1
https://scholars.uow.edu.au/display/publication97098,Ritin,Fernandez,ritin,2
https://scholars.uow.edu.au/display/publication97098,Victoria,Traynor,vtraynor,3
https://scholars.uow.edu.au/display/publication101461,Karen,Charlton,karenc,1
https://scholars.uow.edu.au/display/publication125159,Isabel,Ferreira,isabelf,4
https://scholars.uow.edu.au/display/publication120998,Shujun,Zhang,shujun,2
https://scholars.uow.edu.au/display/publication105583,M,Sheikh,msheikh,3
https://scholars.uow.edu.au/display/publication105583,Alex,Remennikov,alexrem,2
https://scholars.uow.edu.au/display/publication92178,Brian,Martin,bmartin,1
https://scholars.uow.edu.au/display/publication25307,Ian,Ring,iring,3
https://scholars.uow.edu.au/display/publication108723,Xingyong,Wang,xingyong,5
https://scholars.uow.edu.au/display/publication81617,Richard,Roberts,rgrob,1
https://scholars.uow.edu.au/display/publication81617,Thomas,Sutikna,tsutikna,2
https://scholars.uow.edu.au/display/publication43930,Alisa,Percy,alisa,1
https://scholars.uow.edu.au/display/publication33478,John,McCormick,johnmcc,2
https://scholars.uow.edu.au/display/publication124138,Isabel,Ferreira,isabelf,1
https://scholars.uow.edu.au/display/publication87033,Andrew,Jenner,ajenner,5
https://scholars.uow.edu.au/display/publication109211,Tony,Okely,tokely,5
https://scholars.uow.edu.au/display/publication109211,Anthony,Okely,tokely,5
https://scholars.uow.edu.au/display/publication24880,Anne,McMahon,amcmahon,1
https://scholars.uow.edu.au/display/publication24880,Peter,Williams,peterw,3
https://scholars.uow.edu.au/display/publication24880,Linda,Tapsell,ltapsell,2
https://scholars.uow.edu.au/display/publication129881,Minjie,Zhang,minjie,2
https://scholars.uow.edu.au/display/publication129881,Fenghui,Ren,fren,3
https://scholars.uow.edu.au/display/publication129881,Fenghui,Ren,fren,3
https://scholars.uow.edu.au/display/publication102185,Gordon,Wallace,gwallace,8
https://scholars.uow.edu.au/display/publication102185,David,Officer,davido,7
https://scholars.uow.edu.au/display/publication102185,Pawel,Wagner,pawel,6
https://scholars.uow.edu.au/display/publication28407,Moeava,Tehei,moeava,5
https://scholars.uow.edu.au/display/publication34474,Christine,Eriksen,ceriksen,1
https://scholars.uow.edu.au/display/publication34474,Nicholas,Gill,ngill,2
https://scholars.uow.edu.au/display/publication108646,Sarah,O'Shea,saraho,1
https://scholars.uow.edu.au/display/publication110581,Amir,Arjomandi,amira,2
https://scholars.uow.edu.au/display/publication32267,Thomas,Madsen,madsen,2
https://scholars.uow.edu.au/display/publication100420,Lois,Holloway,loish,5
https://scholars.uow.edu.au/display/publication122583,Stacy,Carter,stacyc,2
https://scholars.uow.edu.au/display/publication127864,Michael,Jones,mjones,2
https://scholars.uow.edu.au/display/publication94606,Catriona,Burdon,cburdon,1
https://scholars.uow.edu.au/display/publication38714,Richard,Roberts,rgrob,7
https://scholars.uow.edu.au/display/publication63533,Alison,Jones,alisonj,1
https://scholars.uow.edu.au/display/publication117736,Shi,Dou,shi,9
https://scholars.uow.edu.au/display/publication117736,S,Dou,shi,9
https://scholars.uow.edu.au/display/publication117736,Lei,Wang,leiw,7
https://scholars.uow.edu.au/display/publication97428,Madeleine,du Toit,mdt,2
https://scholars.uow.edu.au/display/publication97428,Madeleine,Du Toit,mdt,2
https://scholars.uow.edu.au/display/publication105565,Gai,Lindsay,glindsay,1
https://scholars.uow.edu.au/display/publication24693,Tony,Okely,tokely,2
https://scholars.uow.edu.au/display/publication24693,Anthony,Okely,tokely,2
https://scholars.uow.edu.au/display/publication24693,Dylan,Cliff,dylanc,3
https://scholars.uow.edu.au/display/publication24693,Rachel,Jones,rachelj,4
https://scholars.uow.edu.au/display/publication26855,Zhengyi,Jiang,jiang,1
https://scholars.uow.edu.au/display/publication26855,Hongtao,Zhu,hongtao,3
https://scholars.uow.edu.au/display/publication26855,Anh,Tieu,ktieu,4
https://scholars.uow.edu.au/display/publication37078,Aditya,Ghose,aditya,2
https://scholars.uow.edu.au/display/publication110001,Zenobia,Jacobs,zenobia,2
https://scholars.uow.edu.au/display/publication30285,Lindsay,Oades,loades,2
https://scholars.uow.edu.au/display/publication30285,Trevor,Crowe,tcrowe,3
https://scholars.uow.edu.au/display/publication23486,Jenny,Beck,jbeck,5
